User,Tweet Count,Date/Time,Compound,Negative,Neutral,Positive,Text
BBC,56,2018-04-26 10:27:28+00:00,0.3182,0.0,0.897,0.103,"More than 40 companies, who are responsible for over 80% of UK supermarkets' plastic packaging, have signed up to a… https://t.co/Te1iNrkH3D"
BBC,55,2018-04-26 08:01:06+00:00,0.0,0.0,1.0,0.0,"🦎 Komodo dragons take on prey ten times their size!
#NaturesBiggestBeasts https://t.co/0WskNgK7aV"
BBC,54,2018-04-26 07:29:06+00:00,-0.5927,0.228,0.691,0.081,"🚑 In a medical emergency, the right response can save lives – but many of us are still doing the wrong thing...
👉… https://t.co/ncRpVF4Ybm"
BBC,53,2018-04-26 07:00:10+00:00,0.0,0.0,1.0,0.0,👟🗑 Do you plog? https://t.co/oN1HxQzQJS
BBC,52,2018-04-25 20:12:00+00:00,0.0,0.0,1.0,0.0,"In 1941, Josef Jakobs was executed at the Tower of London, marking the end of a chapter in its history. https://t.co/q9nwuRjqmv"
BBC,51,2018-04-25 19:03:06+00:00,-0.1779,0.102,0.898,0.0,"Hugh Fearnley-Whittingstall is on a mission, asking food producers, restaurants and the government to confront Brit… https://t.co/EcfjGY9Hqo"
BBC,50,2018-04-25 18:00:25+00:00,-0.1531,0.105,0.818,0.077,☀️🛶 How an isolated indigenous community in Ecuador is protecting the Amazon jungle with its first solar powered ca… https://t.co/yHNXh2C0ZO
BBC,49,2018-04-25 17:01:10+00:00,0.0,0.0,1.0,0.0,"🌱🍓 A man has told of how he 'got his mum back' after a diagnosis of Alzheimer's, in part, by getting her to follow… https://t.co/Bj8a8iAK61"
BBC,48,2018-04-25 16:00:21+00:00,-0.128,0.13,0.87,0.0,❤️🐿 The dating scene is tough when you're a red squirrel... https://t.co/BUTI5sOp3R
BBC,47,2018-04-25 14:44:29+00:00,0.0,0.0,1.0,0.0,"🐧 🤣 When penguins... HONK!... interrupt... HONK!... your TV interview... HONK!   
#WorldPenguinDay https://t.co/mFUZec36Ne"
BBC,46,2018-04-25 14:31:54+00:00,-0.5994,0.231,0.769,0.0,"RT @BBCOne: .@HughFW is waging a war on waistlines. Tonight, 9pm, BBC One 🍔
#BritainsFatFight https://t.co/zYC7BECRw9"
BBC,45,2018-04-25 14:30:12+00:00,0.0,0.0,1.0,0.0,"RT @bbcmusic: OH HI @NiallOfficial 😍 

#SoundsLikeFridayNight https://t.co/Iw2xK5wMj7"
BBC,44,2018-04-25 13:55:02+00:00,0.0,0.0,1.0,0.0,"RT @BBC6Music: ""I essentially went to Hogwarts!""
- @SimonPegg reveals how to have the #BiggestWeekend in his hometown of Gloucester.

🎥 Lis…"
BBC,43,2018-04-25 13:49:16+00:00,0.0,0.0,1.0,0.0,🤠 Never turn your back on a man in a cowboy hat. https://t.co/CBkcugUzBO
BBC,42,2018-04-25 12:36:12+00:00,0.7783,0.0,0.57,0.43,RT @BBCBreakfast: Just look at these gorgeous rescued bear cubs 😍 https://t.co/2wvTLiA01U
BBC,41,2018-04-25 12:24:43+00:00,0.6369,0.0,0.802,0.198,RT @BBCTwo: This penguin swims thousands of miles every year to visit his best friend... 🐧💙 #WorldPenguinDay https://t.co/JlrMZ5exRE
BBC,40,2018-04-25 11:00:09+00:00,0.0,0.0,1.0,0.0,Mums have responded to pictures of the Duchess of Cambridge leaving hospital following the birth of her third child… https://t.co/KQKq2MfdM8
BBC,39,2018-04-25 10:12:00+00:00,0.0,0.0,1.0,0.0,🔥🌶 Some people just can't handle the heat. https://t.co/bcWeeTB8F1
BBC,38,2018-04-25 08:41:42+00:00,0.4404,0.0,0.884,0.116,RT @TWBBC: We made a chatbot. Our chatbot predicts how influential your Instagram pictures will be before you post them. Our chatbot uses m…
BBC,37,2018-04-25 08:01:03+00:00,-0.1027,0.104,0.896,0.0,💌 This woman will write you a letter when you're going through hard times. https://t.co/6WejY9BcoI
BBC,36,2018-04-25 07:28:08+00:00,0.0,0.0,1.0,0.0,"📚 From ancient epics to modern novels, some narratives have changed history and influenced the mindsets of generati… https://t.co/QDcGy8jwXe"
BBC,35,2018-04-25 07:01:04+00:00,0.3182,0.07,0.796,0.134,"These children on Sal Island in Cape Verde are working hard to clean up their beaches. 
#OurBluePlanet https://t.co/IziZtoSeEp"
BBC,34,2018-04-24 19:03:07+00:00,-0.3612,0.128,0.872,0.0,"A leading divorce lawyer leaves the family firm for a rival, throwing her relationships into turmoil in the process… https://t.co/AHGrKnYPhA"
BBC,33,2018-04-24 18:00:24+00:00,0.25,0.0,0.882,0.118,"🐜🤖 By turning ant brains into algorithms, scientists have created robots that navigate without GPS. https://t.co/8qGDjewneC"
BBC,32,2018-04-24 17:01:03+00:00,-0.25,0.095,0.905,0.0,😲 Australian police say they will review how a 12-year-old boy travelled alone to Bali after he had a row with his… https://t.co/gskGhMaKgN
BBC,31,2018-04-24 16:08:00+00:00,0.6908,0.0,0.691,0.309,RT @bbcwritersroom: Want to get yr first @BBC writing credit? We're running a #Comedy monologue opportunity alongside @bbcmusic @bbcintrodu…
BBC,30,2018-04-24 16:01:03+00:00,0.0,0.0,1.0,0.0,"Queen Victoria was sort of the Darth Vader of the British Empire. 
#CunkOnBritain https://t.co/F4BGHWQtiz"
BBC,29,2018-04-24 15:21:18+00:00,0.0,0.0,1.0,0.0,"RT @BBCOne: When divorce is a family affair... 

#TheSplit. Starts tonight at 9pm on @BBCOne. https://t.co/T31iOt0GIx"
BBC,28,2018-04-24 15:20:51+00:00,-0.3818,0.133,0.867,0.0,"RT @BBCTwo: The Battle of Trafalgar really slowed down trade at the Pret a Manger. 😂🇬🇧 @missdianemorgan #CunkOnBritain
https://t.co/5tkFNfD…"
BBC,27,2018-04-24 15:16:28+00:00,-0.34,0.167,0.833,0.0,RT @BBCNews: Gun salute takes place in London for new prince https://t.co/g5AEWrmRec https://t.co/dBoijinHBe
BBC,26,2018-04-24 15:00:24+00:00,-0.7506,0.262,0.738,0.0,"🤢🥚The planet Uranus has clouds made up of hydrogen sulphide, the gas that gives rotten eggs their unpleasant smell,… https://t.co/WWBR6BuUa3"
BBC,25,2018-04-24 13:01:04+00:00,0.3384,0.0,0.883,0.117,"📸❤️ This wedding photo will give you all the feels...

It's by the most committed photographer ever.
👉… https://t.co/BRtArfWGTM"
BBC,24,2018-04-24 12:00:21+00:00,-0.6523,0.325,0.675,0.0,"🐰 When your pet rabbit has got RAGE issues. 
#NightmarePetsSOS https://t.co/EQF2bAPgIF"
BBC,23,2018-04-24 11:10:06+00:00,-0.2006,0.171,0.695,0.134,"The faecal transplant, also known as trans-poo-sion, surely has the title of medicine's most disgusting procedure..… https://t.co/433qH3AFV6"
